,id,repo_id,contributor,contributions
7514,,47880207,MinnDevelopment,929
574,,9623064,code4craft,928
2040,,4084908,beeender,928
8463,,32675488,luccioman,925
3538,,18845024,nreid260,925
353,,20818126,marcbaechinger,923
5305,,337054443,xC3FFF0E,921
3640,,49820627,msand,920
1274,,14514251,schildbach,919
1268,,1381673,michaelneale,918
2948,,1773754,snowleo,917
723,,5187976,rkorytkowski,912
1837,,31006158,agoncharuk,912
544,,65987043,nieqiurong,908
261,,126365965,linlinjava,906
1109,,88970564,cgspine,905
2372,,21833183,TranceLove,903
5916,,23206290,graememorgan,903
592,,14135470,ptgoetz,902
3096,,246464565,Mathias-Boulay,901
4080,,5453324,anstarovoyt,899
2280,,506175118,okcaptain,898
3507,,25688387,qq254963746,896
1047,,32848140,zjffdu,896
20,,127988011,macrozheng,895
3463,,9504214,jkeljo,894
4038,,2067253,optionsome,893
3464,,9504214,ttsugriy,892
1082,,11008076,rayder441,890
2154,,2442457,swagle,888
3465,,9504214,bobyangyf,886
8645,,196475719,bnasslahsen,885
2829,,18511687,akrherz,885
864,,501687,ericvergnaud,882
2018,,402945349,EsoragotoSpirit,881
846,,19369035,franklingu,881
3554,,25201361,Konloch,880
3148,,865412,manolama,880
4081,,5453324,segrey,879
1163,,320785435,yujincheng08,879
2776,,45096760,michaelwittig,876
2762,,115411826,CodeNinjaEvan,874
8616,,101408117,fjeremic,874
312,,45721011,peng-yongsheng,874
393,,7010724,jialinsun,873
82,,8205602,harawata,870
7710,,59032201,DaveyBiggers,868
2763,,115411826,zhaohong,863
3159,,206370,sebastian-nagel,863
1838,,31006158,nva,863
2361,,2624521,eduramiba,863
2249,,206459,cutting,862
2274,,89322848,paynie,861
1117,,27911088,mcgilman,858
7992,,445585860,yanhom1314,855
2019,,402945349,amber-create,854
1736,,2928948,stankovski,853
380,,66023605,jschwarzwalder,852
2299,,10637896,ppkarwasz,851
1396,,1089149,fmbenhassine,849
1445,,50160261,md-5,848
2908,,1438007,begla,845
2764,,115411826,Yrp,842
433,,57461213,abextm,839
10696,,13233158,jpark37,838
1750,,6220644,dfhuynh,838
901,,4576305,adriancole,838
3323,,19836746,TADraeseke,837
231,,120395176,zhuangjiaju,836
3547,,2675355,MysterAitch,836
10813,,29759715,inikep,830
3275,,83799439,sfufagoogle,829
8601,,37791069,rockjam,829
3677,,56284158,nayuki,828
373,,332357698,xingyuv,828
3605,,375260798,aiwenmo,827
10720,,569041,vszakats,825
2598,,38829639,manusa,824
3111,,19961085,xiangfu0,821
3737,,9759448,DaanHoogland,817
1275,,14514251,msgilligan,816
168,,23418517,aajisaka,816
7975,,96312832,flocke,813
2087,,12983151,kaikreuzer,811
2041,,4084908,emanuelez,811
3276,,83799439,stevenckngaa,809
370,,173228436,nsadeveloper789,809
3839,,367217461,chopper711,809
4014,,15771504,guoguibing,807
1531,,2751199,jodygarnett,806
7548,,83530209,burak-58,806
3738,,9759448,anthonyxu,803
724,,5187976,djazayeri,802
1304,,129332826,frank-lam,801
6513,,455584258,tomsun28,800
381,,66023605,Laren-AWS,798
3713,,19730456,mkalinin,798
10690,,246335987,ventoy,797
1637,,317888,shinnlok,797
3097,,246464565,artdeell,797
2106,,127906883,kanata163,796
830,,20089857,tedyu,795
495,,8575137,JakeWharton,795
1764,,8957264,hamiltont,795
4148,,158975124,HTHou,792
2259,,25114751,lecho,792
10756,,6201092,kasper93,791
10721,,541269386,ggerganov,788
3449,,77385607,okram,782
1381,,3116751,pyricau,782
158,,2562751,srowen,780
3648,,17960746,stephengold,780
10766,,20159867,nothings,779
3415,,37173512,hellokaton,776
10757,,6201092,Dudemanguy,773
3392,,20570214,thaidn,771
8208,,14281190,nitsanw,771
2819,,40213809,yanokwa,771
3104,,17662022,sqrrm,767
169,,23418517,szetszwo,766
170,,23418517,vinoduec,763
1839,,31006158,ptupitsyn,761
1501,,48427914,Jacksgong,761
7075,,237553513,jellysquid3,757
2836,,867564,jongerrish,757
4176,,5103785,fl4via,756
1532,,2751199,tbarsballe,756
434,,57461213,Nightfirecat,755
3682,,46977130,galenlin,755
2155,,2442457,sumitmohanty,754
2568,,29102367,sormuras,754
3352,,42032884,translatewiki,754
6158,,2923236,havocp,749
7541,,28836678,joserebelo,749
2685,,143175496,ZeroMemes,747
2976,,21180741,fil512,747
1765,,8957264,pfalls-techempower,744
394,,7010724,qmwu2000,741
4062,,32567673,Sayi,740
8400,,5797013,lfoppiano,740
1887,,161292091,Yves0,740
2142,,1680733,matthiasblaesing,739
7418,,15958676,CalebFenton,738
2996,,3743376,Micheleboychuk,738
3190,,2948949,riteshadhikari17,734
1276,,14514251,mikehearn,734
2024,,12019742,katzer,733
1983,,167204613,andsel,732
171,,23418517,arp7,731
2373,,21833183,arpitkh96,731
7515,,47880207,DV8FromTheWorld,731
752,,62117812,lhotari,730
7135,,14640193,SecUpwN,730
329,,5373551,MobiDevelop,726
3056,,58194180,ppatierno,725
10758,,6201092,haasn,721
873,,99919302,Gabriel39,720
3,,9754983,edizor,719
125,,110211147,xkcoding,717
6977,,19748251,jhauswald,715
714,,12499251,mkordas,713
3945,,69400326,agavra,712
224,,7587038,agapple,711
